epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,53.6172,1.46073,0.66626,0.96238,1.01171,0.000331707,0.000331707,0.067161
2,105.013,0.82942,0.88107,0.98786,0.37838,0.000632121,0.000632121,0.0341281
3,156.213,0.68064,0.87379,0.99029,0.37825,0.000899535,0.000899535,0.00106214
4,210.325,0.60466,0.88228,0.9915,0.35664,0.0008515,0.0008515,0.0008515
5,269.055,0.52612,0.90655,0.99393,0.29007,0.000802,0.000802,0.000802
6,323.956,0.4647,0.90777,0.99272,0.2736,0.0007525,0.0007525,0.0007525
7,382.252,0.40301,0.92476,0.99757,0.23243,0.000703,0.000703,0.000703
8,438.521,0.38942,0.92597,0.99029,0.2564,0.0006535,0.0006535,0.0006535
9,493.951,0.32785,0.92233,0.99272,0.26685,0.000604,0.000604,0.000604
10,549.247,0.30255,0.92597,0.99515,0.20784,0.0005545,0.0005545,0.0005545
11,634.906,0.29878,0.94782,0.99636,0.1885,0.000505,0.000505,0.000505
12,685.68,0.25062,0.94417,0.99272,0.20494,0.0004555,0.0004555,0.0004555
13,740.604,0.231,0.94296,0.99515,0.18775,0.000406,0.000406,0.000406
14,793.809,0.21102,0.94053,0.99515,0.17213,0.0003565,0.0003565,0.0003565
15,845.272,0.20205,0.95024,0.99636,0.17317,0.000307,0.000307,0.000307
16,902.321,0.19686,0.95631,0.99515,0.16092,0.0002575,0.0002575,0.0002575
17,955.486,0.16631,0.95752,0.99393,0.14636,0.000208,0.000208,0.000208
18,1006.93,0.16824,0.95388,0.99636,0.14444,0.0001585,0.0001585,0.0001585
19,1061.45,0.15824,0.95267,0.99636,0.15919,0.000109,0.000109,0.000109
20,1113.3,0.14758,0.9551,0.99636,0.14915,5.95e-05,5.95e-05,5.95e-05
