epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,62.891,1.18223,0.88714,0.99272,0.32869,0.000331707,0.000331707,0.067161
2,129.964,0.47866,0.9284,0.99272,0.23936,0.000632121,0.000632121,0.0341281
3,193.865,0.37421,0.9199,0.99636,0.23921,0.000899535,0.000899535,0.00106214
4,281.805,0.35463,0.93568,0.99636,0.19387,0.0008515,0.0008515,0.0008515
5,339.021,0.2955,0.92961,0.99636,0.21485,0.000802,0.000802,0.000802
6,392.876,0.2552,0.94782,0.99515,0.17067,0.0007525,0.0007525,0.0007525
7,449.387,0.21818,0.96481,0.99879,0.13529,0.000703,0.000703,0.000703
8,504.426,0.18351,0.95631,0.99757,0.14318,0.0006535,0.0006535,0.0006535
9,559.035,0.15158,0.95024,0.99393,0.18213,0.000604,0.000604,0.000604
10,615.098,0.14897,0.95995,0.99757,0.146,0.0005545,0.0005545,0.0005545
11,716.74,0.1435,0.96845,0.99879,0.10525,0.000505,0.000505,0.000505
12,782.474,0.1199,0.96359,0.99879,0.15269,0.0004555,0.0004555,0.0004555
